,m,n,r
0,"(_623:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e17\u0e23\u0e07\u0e40\u0e1e\u0e1b\u0e25\u0e31\u0e21'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_623)
1,"(_622:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e1a\u0e2d\u0e14\u0e35\u0e49\u0e04\u0e2d\u0e19'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_622)
2,"(_610:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e40\u0e0b\u0e17 \u0e40\u0e2a\u0e37\u0e49\u0e2d-\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_610)
3,"(_609:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2d\u0e35\u0e4a\u0e22\u0e21'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_609)
4,"(_608:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e22\u0e39\u0e01\u0e32\u0e15\u0e30'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_608)
5,"(_607:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e27\u0e48\u0e32\u0e22\u0e19\u0e49\u0e33'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_607)
6,"(_606:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e22\u0e37\u0e14'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_606)
7,"(_605:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e04\u0e25\u0e38\u0e21\u0e15\u0e31\u0e27\u0e22\u0e32\u0e27'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_605)
8,"(_604:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e08\u0e31\u0e4a\u0e21\u0e2a\u0e39\u0e17'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_604)
9,"(_566:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e04\u0e32\u0e1e\u0e23\u0e34\u0e2a'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_566)
